"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"SJCSY3K9","journalArticle","2004","Novovic, D.; Dewes, R.C.; Aspinwall, D.K.; Voice, W.; Bowen, P.","The effect of machined topography and integrity on fatigue life","International Journal of Machine Tools and Manufacture","","08906955","10.1016/j.ijmachtools.2003.10.018","https://linkinghub.elsevier.com/retrieve/pii/S0890695503002888","The paper reviews published data which address the eﬀect of machining (conventional and non-conventional processes) and the resulting workpiece surface topography/integrity on fatigue performance, for a variety of workpiece materials. The eﬀect of postmachining surface treatments, such as shot peening, are also detailed. The inﬂuence of amplitude height parameters (Ra, Rt), amplitude distribution (Rsk) and shape (Rku) parameters, as well as spatial (Std, Sal) and hybrid (Ssc) measures, are considered.","2004-02","2019-04-26 15:29:05","2019-04-26 15:29:05","2019-04-26 15:29:05","125-134","","2-3","44","","","","","","","","","","en","","","","","Crossref","","","","C:\Users\mapaqr\Zotero\storage\3E26QIMW\Novovic et al. - 2004 - The effect of machined topography and integrity on.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B839PFQ8","journalArticle","2018","Xie, Q.; Li, R.; Wang, Y.D.; Su, R.; Lian, J.; Ren, Y.; Zheng, W.; Zhou, X.; Wang, Y.","The in-depth residual strain heterogeneities due to an indentation and a laser shock peening for Ti-6Al-4V titanium alloy","Materials Science and Engineering: A","","09215093","10.1016/j.msea.2017.12.073","https://linkinghub.elsevier.com/retrieve/pii/S0921509317316714","Heterogeneity of the through-thickness residual strain due to the laser shock peening (LSP) in comparison with that due to the indentation was studied in Ti-6Al-4V alloy samples. The latter is almost a quasi-static process while the former features extremely high strain-rate deformation. The synchrotron based high-energy X-ray diﬀraction was employed to investigate the through-thickness residual strain distribution. The studied two samples after the two processing procedures share the following features: (i) the pressure aﬀected depths are both ~2 mm and (ii) the largest magnitudes of the compressive residual strains parallel to the surface are ~4,000 με. However, the pit depth for the indentation sample is ~9 times larger than that for the LSP. The position featuring the largest magnitude of the compressive residual strain is in the sub-surface for the indentation while it is in the surface for the LSP. Results of the elastic-visco-plastic ﬁnite element simulation for the indentation indicate that the position featuring the maximum accumulative plastic shear as deﬁned in this paper corresponds to the location with the largest magnitude of compressive residual strain. To validate this ﬁnding, full width at half maximum (FWHM) of the X-ray diﬀraction proﬁle, which is proportional to the level of the plastic deformation, is also studied. It is found that positions with the largest FWHM indeed correspond to the largest magnitude of compressive residual strain for both tests.","2018-01","2019-04-26 15:29:07","2019-04-26 15:29:07","2019-04-26 15:29:07","140-145","","","714","","","","","","","","","","en","","","","","Crossref","","","","C:\Users\mapaqr\Zotero\storage\NCSNUULB\Xie et al. - 2018 - The in-depth residual strain heterogeneities due t.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IV5DRFLS","journalArticle","2013","Roy, Shibayan; Suwas, Satyam","The influence of temperature and strain rate on the deformation response and microstructural evolution during hot compression of a titanium alloy Ti–6Al–4V–0.1B","Journal of Alloys and Compounds","","09258388","10.1016/j.jallcom.2012.08.123","https://linkinghub.elsevier.com/retrieve/pii/S0925838812015472","Hot deformation behavior of a hypoeutectic Ti–6Al–4V–0.1B alloy in (a + b) phase ﬁeld is investigated in the present study with special reference to ﬂow response, kinetics and microstructural evolution. For a comparison, the base alloy Ti–6Al–4V was also studied under identical conditions. Dynamic recovery of a phase occurs at low temperatures while softening due to globularization and/or dynamic recrystallization dominates at high temperatures irrespective of boron addition. Microstructural features for both the alloys display bending and kinking of a lamellae for near a test temperatures. Unlike Ti–6Al–4V, no sign of instability formation was observed in Ti–6Al–4V–0.1B for any deformation condition except for cavitation around TiB particles, due to deformation incompatibility and strain accumulation at the particle–matrix interface. The absence of macroscopic instabilities and early initiation of softening mechanisms as a result of boron addition has been attributed to microstructural features (e.g. reﬁned prior b grain and a colony size, absence of grain boundary a layer, presence of TiB particles at prior b boundaries, etc.) of the respective alloys prior to deformation.","2013-01","2019-04-26 15:29:09","2019-04-26 15:29:09","2019-04-26 15:29:09","110-125","","","548","","","","","","","","","","en","","","","","Crossref","","","","C:\Users\mapaqr\Zotero\storage\PGHWSSYX\Roy et Suwas - 2013 - The influence of temperature and strain rate on th.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2N7DGGHE","journalArticle","2001","Boyce, B.L.; Chen, X.; Hutchinson, J.W.; Ritchie, R.O.","The residual stress state due to a spherical hard-body impact","Mechanics of Materials","","01676636","10.1016/S0167-6636(01)00064-3","https://linkinghub.elsevier.com/retrieve/pii/S0167663601000643","The current study assesses the residual stresses and remnant damage caused by a spherical projectile impacting upon a ¯at surface. The immediate application of this information is to the problem of foreign object damage (FOD) associated with the ingestion of debris into an aircraft turbine engine and the subsequent reduction in component lifetime. The work is focused on two primary features: (i) the development of numerical models for the evaluation of the deformation and stresses associated with the impact process and (ii) the use of spatially resolved residual stress measurements to verify experimentally the numerical analysis. As a ®rst approximation, a quasi-static numerical model was developed by ignoring time-dependent eects (i.e., strain-rate sensitivity, wave and inertia eects, etc.), where the eects of velocity were approximated by adjusting the depth and diameter of the resulting impact crater to match that of actual impact craters at the corresponding velocity. The computed residual stresses and associated elastic strain gradients were compared to experimentally measured values, obtained using synchrotron X-ray diraction (XRD) methods. This comparison indicated that the quasi-static numerical analysis was adequate for moderate impact conditions (velocity  200 m/s, energy  2.7 J); however, under more aggressive conditions (velocity  300 m/s, energy  6.1 J), there was signi®cant discrepancy between the numerical predictions and experimental measurements. Such discrepancy may be attributed to several factors that can occur at higher impact velocities, including strain-rate sensitivity, microcrack formation, and shear-band formation. A dynamic simulation, where the time-dependent eects of strain-rate sensitivity and elastic-wave interactions were approximated, provided results in closer agreement with the experimental diraction observations. Ó 2001 Published by Elsevier Science Ltd.","2001-08","2019-04-26 15:29:11","2019-04-26 15:29:11","2019-04-26 15:29:11","441-454","","8","33","","","","","","","","","","en","","","","","Crossref","","","","C:\Users\mapaqr\Zotero\storage\5WS9LLXD\Boyce et al. - 2001 - The residual stress state due to a spherical hard-.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5NTGDQKN","journalArticle","","Bianchetti, Charles","Analytical fatigue life prediction of shot peened 7050-T7451 aluminum alloy","","","","","","","","2019-04-26 15:29:12","2019-04-26 15:29:12","","139","","","","","","","","","","","","","fr","","","","","Zotero","","","","C:\Users\mapaqr\Zotero\storage\KY94ZL8Y\Bianchetti - Analytical fatigue life prediction of shot peened .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B33UQYBC","journalArticle","","Klotz, Thierry","Analytical prediction of shot peening effects on nickel-based superalloy Inconel 718 fatigue life","","","","","","","","2019-04-26 15:29:13","2019-04-26 15:29:13","","211","","","","","","","","","","","","","fr","","","","","Zotero","","","","C:\Users\mapaqr\Zotero\storage\DYJX4HY2\Klotz - Analytical prediction of shot peening effects on n.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9SGGPAB8","journalArticle","2016","Trung, Pham Quang; Khun, Nay Win; Butler, David Lee","Effects of shot peening pressure, media type and double shot peening on the microstructure, mechanical and tribological properties of low-alloy steel","Surface Topography: Metrology and Properties","","2051-672X","10.1088/2051-672X/4/4/045001","http://stacks.iop.org/2051-672X/4/i=4/a=045001?key=crossref.bb5f3e165ebae198b59be9351322c799","The effects of different shot peening conditions such as pressure (from 68.9–551.6 kPa), media type (media S230 and S110) and double shot peening on the microstructure, mechanical and tribological properties of shot peened AISI 4340 low-alloy steels, were systematically investigated. Their surface topography, hardness and roughness were analyzed by scanning electron microscopy, a Vickers microhardness tester and surface proﬁlometer, respectively, while the cross-sectional sub-surface structures of the as-received and shot peened samples were characterized by means of optical microscopy and nanoindentation. The tribological properties were determined by using a ball-on-disc microtribological tester. It was shown that shot peening pressure and media type had a signiﬁcant effect on the surface roughness, hardness, microstructure, wear resistance and friction of the shot peened AISI 4340 steel samples. It also indicated that the double shot peening process was a promising treatment, not only to reduce the surface roughness of the material after undergoing the ﬁrst shot peening process with large media and high intensity, but to improve the tribological properties of the shot peened material.","2016-10-14","2019-04-26 15:29:14","2019-04-26 15:29:15","2019-04-26 15:29:14","045001","","4","4","","","","","","","","","","en","","","","","Crossref","","","","C:\Users\mapaqr\Zotero\storage\RQQP5N43\Trung et al. - 2016 - Effects of shot peening pressure, media type and d.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RSTSAQPF","journalArticle","2003","Curtis, S; Delosrios, E; Rodopoulos, C; Levers, A","Analysis of the effects of controlled shot peening on fatigue damage of high strength aluminium alloys","International Journal of Fatigue","","01421123","10.1016/S0142-1123(02)00049-X","https://linkinghub.elsevier.com/retrieve/pii/S014211230200049X","The use of two micro-mechanical models for notch sensitivity and fatigue life allowed the development of boundary conditions that would evaluate potential life improvement after controlled shot peening (CSP) in high strength aluminium alloys. The boundary conditions describe the state of equal weight between surface roughening and residual stresses and the implication of material and loading parameters. From the boundary conditions, the performance of CSP on crack arrest and fatigue life can be investigated.","2003-01","2019-04-26 15:29:17","2019-04-26 15:29:18","2019-04-26 15:29:17","59-66","","1","25","","","","","","","","","","en","","","","","Crossref","","","","C:\Users\mapaqr\Zotero\storage\BB83Q494\Curtis et al. - 2003 - Analysis of the effects of controlled shot peening.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T2XVWLEW","journalArticle","2014","Feldmann, Goetz; Wong, Chow Cher; Wei, Wang; Haubold, Thomas","Application of Vibropeening on Aero – Engine Component","Procedia CIRP","","22128271","10.1016/j.procir.2014.04.072","https://linkinghub.elsevier.com/retrieve/pii/S2212827114000730","The ball pressure polishing or Vibropeening method is one of famous polishing methods mainly used for treatment of car wheels or various types of furniture and cutlery. Together with the surfaces improvement without material removal as an optical embellishment this method enables hardening of component surfaces due to introduction of residual stresses by the “knock” effect of the media vibration. The hardening effect has not been studied in detail so far.","2014","2019-04-26 15:29:19","2019-04-26 15:29:19","2019-04-26 15:29:19","423-428","","","13","","","","","","","","","","en","","","","","Crossref","","","","C:\Users\mapaqr\Zotero\storage\ZE66NTCW\Feldmann et al. - 2014 - Application of Vibropeening on Aero – Engine Compo.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6VE8KGYN","journalArticle","2011","Child, D.J.; West, G.D.; Thomson, R.C.","Assessment of surface hardening effects from shot peening on a Ni-based alloy using electron backscatter diffraction techniques","Acta Materialia","","13596454","10.1016/j.actamat.2011.04.025","https://linkinghub.elsevier.com/retrieve/pii/S1359645411002679","An electron backscatter diﬀraction (EBSD)-based tool is described to assess the depth of strain-hardening eﬀects of shot-peening treatments applied to the Ni-based superalloy, UdimetÓ alloy 720Li. The method consists of a statistical analysis of a number of data points from each grain scanned based on the grain orientation spread and their relative position from the shot-peened edge. The output is a quantitative measure of the depth of strain-hardening eﬀects. The tool is used at various shot-peening intensities to demonstrate the ability to distinguish between these changes, using a range of intensities from 4 to 10 Almen. An increase in shot-peening intensity is observed to increase the depth of strain-hardening eﬀects in the alloy. A comparison with residual stress measurements using X-ray diffraction for the same material shows that the strain-hardened depth determined by EBSD extends to approximately half the distance of the residual stress present due to shot peening. A comparison is also made with predicted proﬁles from the PeenstressSM model and subsequent microhardness testing. A positive correlation is observed between strained hardened depth and surface roughness of the peened samples. In each case, the increases in surface roughness and strain-hardened depth diminish toward the upper end of the shot-peening intensity range studied for this alloy.","2011-07","2019-04-26 15:29:21","2019-04-26 15:29:21","2019-04-26 15:29:21","4825-4834","","12","59","","","","","","","","","","en","","","","","Crossref","","","","C:\Users\mapaqr\Zotero\storage\4U32W8WS\Child et al. - 2011 - Assessment of surface hardening effects from shot .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X4UQ7DPK","journalArticle","","Ballard, Patrick","Contraintes résiduelles induites par impact rapide. Application au choc-laser.","","","","","","","","2019-04-26 15:29:22","2019-04-26 15:29:22","","249","","","","","","","","","","","","","","","","","","Zotero","","","","C:\Users\mapaqr\Zotero\storage\9IY3ST9L\Ballard - Contraintes résiduelles induites par impact rapide.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26T5NXCS","journalArticle","2015","Correa, C.; Ruiz de Lara, L.; Díaz, M.; Gil-Santos, A.; Porro, J.A.; Ocaña, J.L.","Effect of advancing direction on fatigue life of 316L stainless steel specimens treated by double-sided laser shock peening","International Journal of Fatigue","","01421123","10.1016/j.ijfatigue.2015.04.018","https://linkinghub.elsevier.com/retrieve/pii/S0142112315001346","Laser shock peening (LSP) is considered as a well-established technology for inducing compressive residual stresses under the surface of metallic components. As a result, fatigue life is increased and the material becomes more resistant to corrosion and wear. This paper studies the effect of a signiﬁcant parameter of LSP, the advancing direction of the laser scanning pattern, on the induced residual stress ﬁelds and the fatigue life of stainless steel 316L samples using experiments and 3D ﬁnite element analysis. The chosen material is of interest for nuclear and biomedical applications. Two different laser shock processing strategies (two different pulse sequences varying the advancing direction) were performed on the specimens. Their fatigue lives were compared revealing the decisive role played by the advancing direction of the treatment and the generated residual stresses. Fatigue life in laser peened specimens was increased from +166% to +471% by optimizing the pulse sequence. This improvement is explained by stress–strain analysis.","2015-10","2019-04-26 15:29:24","2019-04-26 15:29:24","2019-04-26 15:29:24","1-9","","","79","","","","","","","","","","en","","","","","Crossref","","","","C:\Users\mapaqr\Zotero\storage\8ZBBAZW9\Correa et al. - 2015 - Effect of advancing direction on fatigue life of 3.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
